sample_name,blaKPC3_begin,blaKPC3_end,blaTEM1b_begin,blaTEM1_begin,blaTEM1b_end,blaTEM1_end,istA_Tn4401b_begin,istA_Tn4401b_end,istB_Tn4401b_begin,istB_Tn4401b_end,pRYCKPC3.1_begin,pRYCKPC3.1_end,Tn2_begin,Tn2_end,Tn4401b_begin,Tn4401b_end,tnpA_2_tn4401b_begin,tnpA_2_tn4401b_end,tnpA_Tn2_left_begin,tnpA_Tn2_left_end,tnpA_Tn2_right_begin,tnpA_Tn2_right_end,tnpA_Tn4401b_begin,tnpA_Tn4401b_end,tnpR_Tn2_begin,tnpR_Tn2_end,tnpR_Tn4401b_begin,tnpR_Tn4401b_end
CRE001,40099,40976,30235,30235,31091,31091,37911,38932,38933,39708,32940,42833,30088,45044,32898,42899,41230,42545,31999,32895,42904,45011,34775,37800,31278,31831,32950,34661
CRE002,40112,40989,30248,30248,31104,31104,37924,38945,38946,39721,32953,42846,30101,45057,32911,42912,41243,42558,32012,32909,42916,45024,34788,37813,31291,31844,32963,34674
CRE003,40112,40989,30248,30248,31104,31104,37924,38945,38946,39721,32953,42846,30101,45057,32911,42912,41243,42558,32012,32910,42924,45024,34788,37813,31291,31844,32963,34674
CRE004,10258,11135,394,394,1250,1250,8070,9091,9092,9867,3099,12992,247,15203,3060,13058,11389,12704,2158,3055,13070,15170,4934,7959,1437,1990,3109,4820
CRE005,40013,40890,30149,30149,31005,31005,37825,38846,38847,39622,32854,42747,30002,44958,32812,42813,41144,42459,31913,32810,42820,44925,34689,37714,31192,31745,32864,34575
CRE006,7269,8148,NA,NA,NA,NA,5149,6171,6171,6947,179,10004,2,2363,136,10070,8401,9717,2,NA,NA,41328,2013,5039,1,50235,189,1901
CRE007,9889,10766,25,25,881,881,7701,8722,8723,9498,2730,12746,1,14957,2691,12812,11143,12458,1789,2685,12824,14924,4565,7590,1068,1621,2740,4451
CRE008,17114,17991,7564,7564,8228,8228,14926,15947,15948,16723,9955,19848,7564,22059,9913,19914,18245,19560,8892,9904,19910,22026,11790,14815,8237,8724,9965,11676
CRE009,38941,39818,29077,29077,29933,29933,36753,37774,37775,38550,31782,41675,28930,43777,31740,41741,40072,41387,30841,31740,41753,43777,33617,36642,30120,30673,31792,33503
CRE010,39147,40024,29283,29283,30139,30139,36959,37980,37981,38756,31988,41881,29136,44092,31946,41947,40278,41593,31047,31945,41956,44059,33823,36848,30326,30879,31998,33709
CRE011,9889,10766,25,25,881,881,7701,8722,8723,9498,2730,12746,1,14957,2691,12812,11143,12458,1789,2685,12824,14924,4565,7590,1068,1621,2740,4451
CRE012,40013,40890,30149,30149,31005,31005,37825,38846,38847,39622,32854,42747,30002,44958,32812,42813,41144,42459,31913,32810,42825,44925,34689,37714,31192,31745,32864,34575
CRE013,40219,41096,30355,30355,31211,31211,38031,39052,39053,39828,33060,42953,30208,45164,33018,43019,41350,42665,32119,33015,43031,45131,34895,37920,31398,31951,33070,34781
CRE014,26415,27292,16551,16551,17407,17407,24227,25248,25249,26024,19256,29149,16404,31360,19214,29215,27546,28861,18315,19214,29227,31327,21091,24116,17594,18147,19266,20977
CRE015,40102,40979,30238,30238,31094,31094,37914,38935,38936,39711,32943,42836,30091,45047,32901,42902,41233,42548,32002,32900,42914,45014,34778,37803,31281,31834,32953,34664
CRE114,40224,41101,30360,30360,31216,31216,38036,39057,39058,39833,33065,42958,30213,45169,33023,43024,41355,42670,32124,33020,43036,45136,34900,37925,31403,31956,33075,34786
CRE149,8776,9655,1,1,89323,89323,6588,7610,7610,8386,1618,11420,17,13631,1576,11486,9908,11223,553,1450,11498,13599,3452,6478,19,361,1628,3340
CRE150,59442,60321,1,1,69939,69939,57353,58375,58375,59151,52383,62177,1,69939,52341,62240,60574,61889,1,NA,NA,69939,54217,57243,1,69939,52393,54105
CRE152,8352,9231,1,1,25844,25844,6232,7254,7254,8030,1262,11087,2,1094,1223,11153,9484,10800,125,NA,NA,1145,3096,6122,1,25844,1272,2984
CRE156,8292,9171,1,1,19770,19770,6172,7194,7194,7970,1202,11027,3,967,1162,11093,9424,10740,69,NA,NA,966,3036,6062,1,19770,1212,2924
